     #Energy           s          py          pz          px         dxy         dyz         dz2         dxz         dx2       tot  
   -19.20739    -0.69425    -0.01041    -0.02533    -0.00336    -0.00171    -0.00348    -0.00018    -0.00344    -0.00157    -0.74373
   -19.08239    -1.00983    -0.01514    -0.03368    -0.00556    -0.00189    -0.00412    -0.00020    -0.00362    -0.00187    -1.07592
   -18.95739    -1.29254    -0.01950    -0.03990    -0.00827    -0.00200    -0.00442    -0.00022    -0.00376    -0.00212    -1.37273
   -18.83339    -1.48336    -0.02259    -0.04380    -0.01048    -0.00211    -0.00462    -0.00024    -0.00391    -0.00232    -1.57344
   -18.70839    -1.62448    -0.02540    -0.04673    -0.01295    -0.00235    -0.00506    -0.00027    -0.00422    -0.00262    -1.72409
   -18.58339    -1.83760    -0.03027    -0.05126    -0.01768    -0.00287    -0.00604    -0.00033    -0.00490    -0.00326    -1.95421
   -18.45939    -2.13325    -0.03713    -0.05749    -0.02448    -0.00357    -0.00738    -0.00042    -0.00582    -0.00415    -2.27369
   -18.33439    -2.37909    -0.04284    -0.06260    -0.03022    -0.00413    -0.00844    -0.00049    -0.00653    -0.00487    -2.53922
   -18.20939    -2.49357    -0.04550    -0.06494    -0.03292    -0.00439    -0.00891    -0.00053    -0.00685    -0.00520    -2.66280
   -18.08539    -2.52219    -0.04617    -0.06551    -0.03360    -0.00445    -0.00902    -0.00054    -0.00693    -0.00528    -2.69369
   -17.96039    -2.52588    -0.04625    -0.06559    -0.03369    -0.00445    -0.00904    -0.00054    -0.00694    -0.00529    -2.69767
   -17.83539    -2.52612    -0.04626    -0.06559    -0.03370    -0.00446    -0.00904    -0.00054    -0.00694    -0.00529    -2.69792
   -17.71139    -2.52612    -0.04626    -0.06559    -0.03370    -0.00446    -0.00904    -0.00054    -0.00694    -0.00529    -2.69793
   -17.58639    -2.52612    -0.04626    -0.06559    -0.03370    -0.00446    -0.00904    -0.00054    -0.00694    -0.00529    -2.69793
   -17.46139    -2.52612    -0.04626    -0.06559    -0.03370    -0.00446    -0.00904    -0.00054    -0.00694    -0.00529    -2.69793
   -17.33639    -2.52612    -0.04626    -0.06559    -0.03370    -0.00446    -0.00904    -0.00054    -0.00694    -0.00529    -2.69793
   -17.21239    -2.52612    -0.04626    -0.06559    -0.03370    -0.00446    -0.00904    -0.00054    -0.00694    -0.00529    -2.69793
   -17.08739    -2.52612    -0.04626    -0.06559    -0.03370    -0.00446    -0.00904    -0.00054    -0.00694    -0.00529    -2.69793
   -16.96239    -2.52612    -0.04626    -0.06559    -0.03370    -0.00446    -0.00904    -0.00054    -0.00694    -0.00529    -2.69793
   -16.83839    -2.52612    -0.04626    -0.06559    -0.03370    -0.00446    -0.00904    -0.00054    -0.00694    -0.00529    -2.69793
   -16.71339    -2.52612    -0.04626    -0.06559    -0.03370    -0.00446    -0.00904    -0.00054    -0.00694    -0.00529    -2.69793
   -16.58839    -2.52612    -0.04626    -0.06559    -0.03370    -0.00446    -0.00904    -0.00054    -0.00694    -0.00529    -2.69793
   -16.46439    -2.52612    -0.04626    -0.06559    -0.03370    -0.00446    -0.00904    -0.00054    -0.00694    -0.00529    -2.69793
   -16.33939    -2.52614    -0.04626    -0.06559    -0.03370    -0.00446    -0.00904    -0.00054    -0.00694    -0.00529    -2.69795
   -16.21439    -2.52630    -0.04627    -0.06561    -0.03370    -0.00446    -0.00906    -0.00054    -0.00694    -0.00529    -2.69817
   -16.09039    -2.52712    -0.04633    -0.06570    -0.03373    -0.00446    -0.00915    -0.00058    -0.00694    -0.00530    -2.69930
   -15.96539    -2.52933    -0.04648    -0.06593    -0.03379    -0.00446    -0.00939    -0.00068    -0.00696    -0.00533    -2.70234
   -15.84039    -2.53253    -0.04670    -0.06626    -0.03389    -0.00447    -0.00974    -0.00082    -0.00697    -0.00537    -2.70675
   -15.71539    -2.53509    -0.04688    -0.06653    -0.03396    -0.00448    -0.01001    -0.00093    -0.00699    -0.00540    -2.71027
   -15.59139    -2.53619    -0.04696    -0.06664    -0.03399    -0.00448    -0.01013    -0.00098    -0.00699    -0.00541    -2.71179
   -15.46639    -2.53645    -0.04697    -0.06667    -0.03400    -0.00448    -0.01016    -0.00099    -0.00699    -0.00541    -2.71213
