     #Energy           s          py          pz          px         dxy         dyz         dz2         dxz         dx2       tot  
   -18.83339    -1.07640    -0.01871    -0.02180    -0.01463    -0.00100    -0.00179    -0.00014    -0.00136    -0.00153    -1.13735
   -18.70839    -1.18714    -0.02635    -0.02518    -0.02497    -0.00278    -0.00523    -0.00031    -0.00372    -0.00341    -1.27910
   -18.58339    -2.23132    -0.05176    -0.04742    -0.05087    -0.00550    -0.01048    -0.00065    -0.00717    -0.00681    -2.41199
   -18.45939    -2.51078    -0.05831    -0.05249    -0.05825    -0.00583    -0.01107    -0.00076    -0.00747    -0.00742    -2.71239
   -18.33439    -1.43259    -0.03326    -0.02941    -0.03374    -0.00317    -0.00593    -0.00044    -0.00402    -0.00413    -1.54670
   -18.20939    -0.40365    -0.00938    -0.00815    -0.00963    -0.00086    -0.00158    -0.00013    -0.00109    -0.00114    -0.43562
   -18.08539    -0.05545    -0.00129    -0.00110    -0.00134    -0.00012    -0.00021    -0.00002    -0.00015    -0.00016    -0.05982
   -17.96039    -0.00367    -0.00009    -0.00007    -0.00009    -0.00001    -0.00001    -0.00000    -0.00001    -0.00001    -0.00396
   -17.83539    -0.00012    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00013
   -17.71139    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000
   -17.58639    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000
   -17.46139    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000
   -17.33639    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000
   -17.21239     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.08739    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000
   -16.96239    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000
   -16.83839    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000
   -16.71339    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000
   -16.58839    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000
   -16.46439    -0.00001    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00002
   -16.33939    -0.00023    -0.00002    -0.00002    -0.00001    -0.00000    -0.00003    -0.00001    -0.00000    -0.00000    -0.00032
   -16.21439    -0.00231    -0.00016    -0.00024    -0.00007    -0.00001    -0.00025    -0.00010    -0.00001    -0.00003    -0.00317
